season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2024-03-17T14:30:00Z,26,SC Freiburg,Bayer 04 Leverkusen,2,3,AWAY_TEAM
2023,2024-03-17T16:30:00Z,26,Borussia Dortmund,Eintracht Frankfurt,3,1,HOME_TEAM
2023,2024-03-30T14:30:00Z,27,Eintracht Frankfurt,1. FC Union Berlin,0,0,DRAW
2023,2024-03-30T14:30:00Z,27,Borussia Mönchengladbach,SC Freiburg,0,3,AWAY_TEAM
2023,2024-03-30T14:30:00Z,27,SV Werder Bremen,VfL Wolfsburg,0,2,AWAY_TEAM
2023,2024-03-30T14:30:00Z,27,RB Leipzig,1. FSV Mainz 05,0,0,DRAW
2023,2024-03-30T14:30:00Z,27,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2,1,HOME_TEAM
2023,2024-03-30T17:30:00Z,27,FC Bayern München,Borussia Dortmund,0,2,AWAY_TEAM
2023,2024-03-31T13:30:00Z,27,FC Augsburg,1. FC Köln,1,1,DRAW
2023,2024-03-31T15:30:00Z,27,VfB Stuttgart,1. FC Heidenheim 1846,3,3,DRAW
2023,2024-03-31T17:30:00Z,27,VfL Bochum 1848,SV Darmstadt 98,2,2,DRAW
2023,2024-04-05T18:30:00Z,28,Eintracht Frankfurt,SV Werder Bremen,1,1,DRAW
2023,2024-04-06T13:30:00Z,28,1. FC Heidenheim 1846,FC Bayern München,3,2,HOME_TEAM
2023,2024-04-06T13:30:00Z,28,SC Freiburg,RB Leipzig,1,4,AWAY_TEAM
2023,2024-04-06T13:30:00Z,28,1. FC Union Berlin,Bayer 04 Leverkusen,0,1,AWAY_TEAM
2023,2024-04-06T13:30:00Z,28,1. FC Köln,VfL Bochum 1848,2,1,HOME_TEAM
2023,2024-04-06T13:30:00Z,28,1. FSV Mainz 05,SV Darmstadt 98,4,0,HOME_TEAM
2023,2024-04-06T16:30:00Z,28,Borussia Dortmund,VfB Stuttgart,0,1,AWAY_TEAM
2023,2024-04-07T13:30:00Z,28,TSG 1899 Hoffenheim,FC Augsburg,3,1,HOME_TEAM
2023,2024-04-07T15:30:00Z,28,VfL Wolfsburg,Borussia Mönchengladbach,1,3,AWAY_TEAM
2023,2024-04-12T18:30:00Z,29,FC Augsburg,1. FC Union Berlin,2,0,HOME_TEAM
2023,2024-04-13T13:30:00Z,29,Borussia Mönchengladbach,Borussia Dortmund,1,2,AWAY_TEAM
